feature,importance_mean,importance_std
Curricular_units_2nd_sem_approved,0.2316059162522361,0.015709748566345518
Curricular_units_1st_sem_approved,0.09158497505960186,0.0055877755630379024
Curricular_units_2nd_sem_enrolled,0.05037872900551619,0.006307486188586525
Tuition_fees_up_to_date,0.0341901847252163,0.003464703025044785
Curricular_units_1st_sem_enrolled,0.032667723078518264,0.004044799196196534
Age_at_enrollment,0.014650279890073503,0.00403549027213091
Course,0.012643611637381846,0.005491059507861593
Curricular_units_2nd_sem_grade,0.007723969006387887,0.003977387116770033
Unemployment_rate,0.006564019643106223,0.001990911860323292
Scholarship_holder,0.00472786739195884,0.0026495369864023566
Debtor,0.004460730365088139,0.0021418341764478824
Application_mode,0.004358504729773361,0.0019615826548723195
Gender,0.002087833699713626,0.0028066448906295463
Inflation_rate,0.000685182599706613,0.001980933561948961
Daytime_evening_attendance,0.0005194665366762274,0.0014363504261823792
GDP,0.0,0.0
Admission_grade,0.0,0.0
Application_order,0.0,0.0
Previous_qualification_grade,-0.0001431034186706648,0.0009700302389600116
Curricular_units_1st_sem_grade,-0.0007233814295515729,0.0009323053551849941
Marital_status,-0.000811811790917194,0.0026199479195660033
Previous_qualification,-0.0009716048911859842,0.0018744495421437577
Displaced,-0.0026273721983670396,0.0024274878528701234
